"Occupations","Gender","Boroughs","year","Salary","year_range"
"Health technologists and technicians","Female","Kings County","year2013",42366,"year2010_2013"
"Health technologists and technicians","Female","Kings County","year2014",39990,"year2014_2016"
"Health technologists and technicians","Female","Kings County","year2015",40975,"year2014_2016"
"Health technologists and technicians","Female","Kings County","year2016",40327,"year2014_2016"
"Health technologists and technicians","Female","Kings County","year2017",37513,"year2017_2019"
"Health technologists and technicians","Female","Kings County","year2018",41158,"year2017_2019"
"Health technologists and technicians","Female","Kings County","year2019",49597,"year2017_2019"
"Healthcare support occupations","Female","Kings County","year2010",22489,"year2010_2013"
"Healthcare support occupations","Female","Kings County","year2011",24001,"year2010_2013"
"Healthcare support occupations","Female","Kings County","year2012",23088,"year2010_2013"
"Healthcare support occupations","Female","Kings County","year2013",23442,"year2010_2013"
"Healthcare support occupations","Female","Kings County","year2014",23491,"year2014_2016"
"Healthcare support occupations","Female","Kings County","year2015",22947,"year2014_2016"
"Healthcare support occupations","Female","Kings County","year2016",22300,"year2014_2016"
"Healthcare support occupations","Female","Kings County","year2017",23494,"year2017_2019"
"Healthcare support occupations","Female","Kings County","year2018",24180,"year2017_2019"
"Healthcare support occupations","Female","Kings County","year2019",25923,"year2017_2019"
